srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
52:71:41:2f:b9:07,86:59:92:c5:a7:23,0x0800,*,10.0.150.1,*,17,67,*,1400,*,*,0,0
86:59:92:c5:a7:23,52:71:41:2f:b9:07,0x0800,*,*,10.0.150.1,17,*,67,1400,*,*,0,0
86:59:92:c5:a7:23,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,174,2
52:71:41:2f:b9:07,86:59:92:c5:a7:23,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
52:71:41:2f:b9:07,86:59:92:c5:a7:23,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
52:71:41:2f:b9:07,86:59:92:c5:a7:23,0x0800,*,*,*,1,*,*,1000,*,*,0,0
86:59:92:c5:a7:23,52:71:41:2f:b9:07,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
86:59:92:c5:a7:23,52:71:41:2f:b9:07,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
86:59:92:c5:a7:23,52:71:41:2f:b9:07,0x0800,*,*,*,1,*,*,1000,*,*,0,0
52:71:41:2f:b9:07,86:59:92:c5:a7:23,0x0800,*,*,*,17,123,*,1000,*,*,0,0
86:59:92:c5:a7:23,52:71:41:2f:b9:07,0x0800,*,*,*,17,*,123,1000,*,*,0,0
52:71:41:2f:b9:07,86:59:92:c5:a7:23,*,*,*,*,17,53,*,1000,*,*,0,0
86:59:92:c5:a7:23,52:71:41:2f:b9:07,*,*,*,*,17,*,53,1000,*,*,0,0
*,86:59:92:c5:a7:23,0x0806,*,*,*,*,*,*,1000,*,*,0,0
86:59:92:c5:a7:23,*,0x0806,*,*,*,*,*,*,1000,*,*,0,0
86:59:92:c5:a7:23,52:71:41:2f:b9:07,0x0800,*,*,*,17,*,*,800,*,*,0,0
86:59:92:c5:a7:23,52:71:41:2f:b9:07,0x0800,*,*,*,6,*,*,800,*,*,0,0
52:71:41:2f:b9:07,86:59:92:c5:a7:23,0x0800,*,*,*,17,*,*,700,*,*,0,0
52:71:41:2f:b9:07,86:59:92:c5:a7:23,0x0800,*,*,*,6,*,*,700,*,*,0,0
86:59:92:c5:a7:23,*,0x0800,*,*,*,6,5222,*,655,*,*,6863,78
*,86:59:92:c5:a7:23,0x0800,*,*,*,6,*,8011,655,*,*,3157,13
86:59:92:c5:a7:23,*,0x0800,*,*,*,6,80,*,655,*,*,62269477,47338
86:59:92:c5:a7:23,*,0x0800,*,*,*,6,443,*,655,*,*,720656,1964
*,86:59:92:c5:a7:23,0x0800,*,*,*,6,*,5222,650,*,*,7085,79
86:59:92:c5:a7:23,*,0x0800,*,*,*,6,8011,*,650,*,*,1292,7
*,86:59:92:c5:a7:23,0x0800,*,*,*,6,*,80,650,*,*,1024170,17647
*,86:59:92:c5:a7:23,0x0800,*,*,*,6,*,443,650,*,*,421554,1838
86:59:92:c5:a7:23,*,0x888e,*,*,*,*,*,*,650,*,*,1449,9
86:59:92:c5:a7:23,*,0x0800,*,*,*,17,443,*,610,*,*,11499312,127392
*,86:59:92:c5:a7:23,0x0800,*,*,*,17,*,443,610,*,*,11499312,127392
*,86:59:92:c5:a7:23,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,86:59:92:c5:a7:23,0x0800,*,*,*,1,*,*,601,8,0,66666,189
*,86:59:92:c5:a7:23,0x0800,*,*,*,17,*,*,600,*,*,235,3
*,86:59:92:c5:a7:23,0x0800,*,*,*,6,*,*,600,*,*,400,6
