srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,apresolve.spotify.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,audio-ak-spotify-com.akamaized.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,fonts.googleapis.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients3.google.com,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,clients3.google.com,17,*,443,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,mtalk.google.com,6,*,5228,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ajax.googleapis.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.gstatic.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients1.google.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,cast.scdn.co,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,android.clients.google.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,connectivitycheck.gstatic.com,17,*,443,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients4.google.com,17,*,443,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.gstatic.com,17,*,443,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,seektables.scdn.co,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api-partner.spotify.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,8.8.8.8,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.google-analytics.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,android.clients.google.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients4.google.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dealer.spotify.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,google.com,1,*,*,1001,8,0
